DEPTH,CALI,GR,ILD,ITT,LLD,LLS,MSFL,NPHI,RHOB,SFL,SP
1531.7724,13.5199,50.5605,0.7979,0.136,0.837,0.892,1.0246,0.4329,2.2516,0.9628,39.0499
1531.9248,13.7,52.1131,0.7904,0.135833333,0.7997,0.8604,1.0561,0.4327,2.2437,0.96152,39.2847
1532.0772,13.7667,53.1945,0.7829,0.135666667,0.776,0.859285714,1.0157,0.449,2.2352,0.96024,39.533
1532.2296,13.8334,53.53466667,0.7852,0.1355,0.776233333,0.858171429,0.9737,0.455,2.2286,0.95896,39.2881
1532.382,13.9001,53.87483333,0.7931,0.135333333,0.776466667,0.857057143,0.9643,0.4544,2.2234,0.95768,38.9817
1532.5344,13.84145,54.215,0.8083,0.135166667,0.7767,0.855942857,0.9396,0.4538,2.2195,0.9564,38.829
1532.6868,13.7828,51.7601,0.8302,0.135,0.776933333,0.854828571,0.9577,0.4532,2.2158,1.0006,38.8995
1532.8392,13.6777,52.1025,0.8559,0.1321,0.777166667,0.853714286,1.062,0.4477,2.2158,1.0411,39.0591
1532.9916,13.5726,52.7744,0.8781,0.1294,0.7774,0.8526,1.0887,0.4336,2.2227,1.0726,39.064
1533.144,13.4675,51.9901,0.8884,0.1266,0.8053,0.861,1.1166,0.4223,2.2303,1.1025,38.7455
1533.2964,13.3624,50.4997,0.8846,0.1249,0.8382,0.8761,1.1894,0.4152,2.2235,1.1305,38.74034
1533.4488,13.5963,50.8602,0.8762,0.1248,0.8662,0.94,1.2024,0.413625,2.2158,1.138,38.73518
1533.6012,13.8092,52.082,0.8527,0.1243,0.8887,0.9815,1.2154,0.41205,2.223,1.1101,38.73002
1533.7536,13.7482,52.8936,0.8336,0.1271,0.8933,0.9935,1.2284,0.410475,2.2226,1.0672,38.72486
1533.906,13.6903,53.0101,0.8186,0.133,0.8684,0.9824,1.0906,0.4089,2.22,1.0219,38.7197
1534.0584,13.4777,52.0702,0.8313,0.135,0.8368,0.9316,1.0743,0.4028,2.2403,0.9878,39.3596
1534.2108,13.4865,50.9633,0.8635,0.1336,0.8089,0.8836,0.9837,0.4088,2.265,0.9549,39.2043
1534.3632,13.4953,49.6855,0.8924,0.1322,0.7892,0.8409,0.934,0.433,2.2663,0.975533333,39.049
1534.5156,13.729,50.6557,0.9061,0.1308,0.7755,0.851025,0.9384,0.4425,2.223,0.996166667,38.8937
1534.668,13.8203,51.6259,0.8967,0.1294,0.7862,0.86115,0.9565,0.4402,2.2214,1.0168,38.7384
1534.8204,13.6967,52.885,0.892,0.1238,0.7909,0.871275,1.0154,0.432,2.2175,1.2612,38.42705
1534.9728,13.636,52.99494545,0.9078,0.1232,0.7941,0.8814,1.1793,0.4254,2.2222,1.23685,38.1157
1535.1252,13.808,53.10489091,0.9419,0.1226,0.9142,1.0266,1.198866667,0.4376,2.2269,1.2125,39.5203
1535.2776,13.8433,53.21483636,0.9868,0.122,0.918575,1.023,1.218433333,0.430833333,2.2316,1.18815,39.4676
1535.43,13.5536,53.32478182,0.9908,0.1311,0.92295,1.0194,1.238,0.424066667,2.2691,1.1638,38.5289
1535.5824,13.53796667,53.43472727,0.9831,0.13066,0.927325,1.0158,1.0242,0.4173,2.26538,1.0954,38.6458
1535.7348,13.52233333,53.54467273,0.973,0.13022,0.9317,0.9758,0.9436,0.4161,2.26166,1.0599,39.0305
1535.8872,13.5067,53.65461818,0.9682,0.12978,0.8803,0.9624,1.00498,0.4149,2.25794,1.0582,39.0169
1536.0396,13.49106667,53.76456364,0.985,0.12934,0.8649,0.9644,1.06636,0.4137,2.25422,1.0873,39.225
1536.192,13.47543333,53.87450909,1.0035,0.1289,0.8798,0.9817,1.12774,0.4253,2.2505,1.138,38.8646
1536.3444,13.4598,53.98445455,1.005183333,0.1238,0.895,1.0023,1.18912,0.4281,2.24208,1.1964,38.5332
1536.4968,13.4462,54.0944,1.006866667,0.123325,0.9196,1.0349,1.2505,0.424,2.23366,1.2074,38.3114
1536.6492,13.53675,52.8384,1.00855,0.12285,0.9541,1.0661,1.26355,0.4283,2.22524,1.2184,38.0221
1536.8016,13.6273,53.4879,1.010233333,0.122375,0.9573,1.06718,1.2766,0.4171,2.21682,1.2294,38.02696667
1536.954,13.6633,54.0752,1.011916667,0.1219,0.9605,1.06826,1.28965,0.4002,2.2084,1.2404,38.03183333
1537.1064,13.6633,52.3592,1.0136,0.1232,0.9637,1.06934,1.3027,0.4061,2.2373,1.2264,38.0367
1537.2588,13.714,51.5432,1.0015,0.1231,0.9669,1.07042,1.1957,0.4046,2.2679,1.2125,38.5979
1537.4112,13.7647,50.3207,0.993,0.1256,0.9435,1.0715,1.1631,0.4055,2.2739,1.2046,39.3891
1537.5636,13.4775,50.38608,0.9897,0.1234,0.9341,1.0456,1.236,0.4055,2.2799,1.2205,39.55165
1537.716,13.6364,50.45146,0.9874,0.1216,0.9328,1.0299,1.2593,0.4026,2.2773,1.22348,39.7142
1537.8684,13.7423,50.51684,0.9839,0.1239,0.9388,1.0434,1.2242,0.4119,2.2815,1.22646,38.3829
1538.0208,13.6313,50.58222,0.979,0.1219,0.9525,1.0669,1.1928,0.42,2.2861,1.22944,37.9938
1538.1732,13.8066,50.6476,0.9706,0.1226,0.9642,1.06835,1.1188,0.4101,2.2864,1.23242,38.1181
1538.3256,14.0869,51.5904,0.9645,0.1226,0.9641,1.0698,1.0353,0.4048,2.28685,1.2354,38.133
